trip_id,agent_id,start_time,end_time,origin_node,destination_node,route_taken,trip_distance_km,trip_duration_min,average_speed_kmh
T000124,A1282202149584,06:00:00,06:01:50,109243586,109243586,"[109243586, 8084004, 33800675, 109243582]",0.385943,1.8333333333333333,12.630861818181819
T000247,A1284184285328,06:00:00,06:12:00,244501472,244501472,"[244501472, 244501471, 244501470, 8595588742, 8595588751, 244501493, 244501492, 244501491, 250061484, 244501490, 250061407, 475056642, 475056648, 244501485, 475056672, 475056676, 475056778, 244501483, 475056781, 250061054, 244501477, 475056773, 244501497, 244501476, 1612984462, 1612984648, 1793146763, 43572729, 141572682, 30342526, 1612985585, 43572711, 43572690, 161913308, 161913290, 1793138457, 338218720, 161913352]",3.012951,12.0,15.064755000000002
T000269,A1284184288208,06:00:00,06:12:20,2479110482,2479110482,"[2479110482, 247589248, 247589253, 240901860, 247589194, 240901781, 247589195, 247584008, 6712628015, 5871186676, 240901800, 240901804, 867273523, 444025984, 11347204766, 241792285, 1189688250, 332013405, 1670303452, 286245317, 1405908602, 241792329, 277005436, 277007827, 277007828, 277005843, 286240179, 286240326, 291757105]",3.397726,12.333333333333334,16.529477837837835
T000111,A1282202147920,06:00:00,06:13:00,773136482,773136482,"[773136482, 773133688, 3989095435, 773142189, 127790105, 144233151, 144233175, 1486115276, 1486115309, 1486032529, 1849551641, 1849551633, 1849551619, 30116834, 349729109, 349729364, 234636281, 26233037, 319187610, 475189642, 475189653, 26841188, 26841189, 26841190, 26841547, 26841551, 141475775, 26841546, 26841545, 344710405, 26832415, 26931703]",3.301682,13.0,15.238532307692308
T000222,A1284184282128,06:00:00,06:14:10,335578594,335578594,"[335578594, 242934351, 4985396389, 2580561437, 117375407, 206365350, 3327515207, 206365352, 206365359, 241775935, 241777991, 241777012, 250546976, 2465377212, 1314894405, 1481112682, 1956595846, 250545060, 1112692322, 250545075, 241777470, 86099915, 151358682, 241777471, 325821958, 325822102, 244496941, 521478692, 1880742920, 244496943, 244496947, 244496948, 244496949, 244496963, 244496972, 244496952, 9062733611, 244496955, 244496957, 244496956, 491045957, 1607084648, 158733590, 250387965, 250387972, 401237454, 401237456, 401237457, 250387978, 244495864, 244495866, 244495867, 860996646, 517483885, 250388052, 250388059, 250388053]",4.385838,14.166666666666666,18.57531388235294
T000046,A1282201467792,06:00:00,06:19:30,187128845,187128845,"[187128845, 187128814, 187128819, 286924247, 377713064, 287025858, 36753492, 9875094579, 2938706373, 21179093, 32017160, 8218932, 1377149492, 9310367046, 312998131, 9100707, 31369438, 61682415, 61682642, 1514643028, 61681929, 61683463, 61681213, 1514643068, 250054843, 250055088, 250055089, 250055379, 1295898013, 250055539, 30342689, 2235181582, 269371430, 394760126, 383539035, 383539031, 269372078]",12.636662999999999,19.5,38.882039999999996
T000131,A1282202150480,06:00:00,06:19:50,1414129159,1414129159,"[1414129159, 1414129112, 1051165890, 1051166034, 250809091, 319175695, 377713064, 287025858, 36753492, 9875094579, 2938706373, 21179093, 32017160, 32017141, 1328775071, 4602632364, 11022489395, 1779174422, 11026629777, 171347761, 3603411618, 2620257963, 250301733, 432643411, 432643418, 243322250, 4210458198, 324587608, 206707903]",6.803686999999999,19.833333333333332,20.5825825210084
T000284,A1284184290128,06:00:00,06:20:00,30147965,30147965,"[30147965, 27269092, 27269081, 26841569, 26841565, 26841557, 26832439, 27269749, 1637567822, 3994573091, 26841455, 26841456, 119553651, 130108681, 122559085]",1.399729,20.0,4.199187
T000295,A1284184291536,06:00:00,06:20:00,26232508,26232508,"[26232508, 122524734, 334503837, 334503859, 142059664, 27122577, 6578669811, 503948923, 503948981, 2436533710, 123536174, 4068061971, 733627700, 4705647140, 733627733, 1388362165, 1388362167, 109728421, 1388362149, 1388362162, 1376041746, 109745214, 109740365, 536322124, 145293, 111415232, 109259614, 151013575, 151013555, 506262403, 1631184699, 102288796, 1405908267, 5404128977, 819188901, 145280, 145265, 417901376, 145201, 21279350, 21279355, 121946476, 21279752, 2260753615, 121946404, 121946410, 121963903, 121990421, 345595693, 7141495898, 269507549, 3014302865, 1303898526, 1127865467, 460381871, 330168523, 1127865470, 345619060]",12.020056000000002,20.0,36.060168000000004
T000061,A1282202141520,06:00:00,06:21:10,1177660136,1177660136,"[1177660136, 3233235720, 6077210203, 6077210202, 60421675, 60955017, 60955026, 60424679, 1128538402, 5289789534, 60423105, 60423979, 5291667655, 60423446, 574849336, 1077348592, 574849329, 2639668688, 571945818, 571945779, 60423449, 60424099, 344852346, 2639668746, 60434629, 60435021, 60442101, 2639668755, 60442103, 344857064, 159681991, 7096474287, 11302469924, 168708754, 168708756, 168708758, 170469728, 4972474395, 170469741, 9877742046, 170469746]",3.8420600000000005,21.166666666666668,10.890878740157481
