trip_id,agent_id,start_time,end_time,origin_node,destination_node,route_taken,trip_distance_km,trip_duration_min,average_speed_kmh
T000273,A2146587046224,06:00:00,06:08:10,4839674000,4839674000,"[4839674000, 552704, 407480, 534696450, 410324, 410389, 410387, 10537128357, 10537128354, 473697, 473699, 473700, 652765388, 345001645, 471276, 1461026488, 302104367, 558363, 413031454, 11040310086]",3.393109,8.166666666666666,24.928964081632657
T000117,A2146523274640,06:00:00,06:08:40,29862791,29862791,"[29862791, 29835482, 29800438, 29800284, 29815828, 29815848, 29914400, 30729763, 29914364, 29914372, 8190142407, 565343, 565348, 559046, 507634, 558850, 745615430, 2526768667, 30342110, 1520209841, 16421185, 13796167, 1520374067, 1520374048, 1520374017, 1520373993, 1523020539, 558290]",3.2859419999999995,8.666666666666666,22.74882923076923
T000224,A2146544308688,06:00:00,06:12:20,31261852,31261852,"[31261852, 12898668, 31261850, 31261851, 30050610, 30050622, 31041957, 13796113, 13796119, 13796117, 13796143, 2914729167, 29627074, 29627083, 29627076, 1652652467, 30090214, 16084454, 16084574, 15514401, 16084063, 1790097896, 218092979, 218102327, 218102328, 30236499, 558488, 558498, 568583192, 558537, 558333, 31331126, 16420974, 8596221180, 2187906523, 540917995, 558661, 558662, 558754, 495023296, 495023297, 603885, 1523930556, 520450, 1523286907, 558486, 558487, 1523188962, 575362, 760646101, 604370, 11124782687]",4.7975439999999985,12.333333333333334,23.339403243243233
T000151,A2146523274384,06:00:00,06:13:30,562087,562087,"[562087, 1123722610, 1123722615, 562137, 562177, 426466, 1229389484, 1446239083, 4743069827, 221372906, 521496, 1651992378, 611939, 1651992354, 218419500, 218425912, 218433397, 1124808234, 1621367935, 30229594, 553370, 553369, 1621367844, 2584270240, 2590641109, 2584270236, 1828716765, 330849513, 1828716776, 1621367824]",9.176248999999997,13.5,40.783328888888875
T000128,A2146523278928,06:00:00,06:14:30,30729763,30729763,"[30729763, 565243, 29914400, 29815674, 14851073, 291796195, 3211279484, 565253, 559518, 559523, 559525, 559527, 559531, 30892656, 561938, 1861604526, 561559, 26408045, 1861604579, 769817193, 31368133, 633941, 633942, 257077325, 1199379036, 641058, 982244970, 345213288, 345213299, 345213303, 1275907422, 4143279346, 2177218602, 32140604, 2177218590, 677349722, 32140600, 489810191]",5.989583000000001,14.5,24.78448137931035
T000238,A2146544314512,06:00:00,06:14:40,34013741,34013741,"[34013741, 34013742, 34070362, 498562172, 34013738, 528074753, 528074744, 562343, 2408233624, 34988425, 27597003, 34988421, 562337, 116865498, 28560352, 28560365, 1846968871, 1846968887, 562333, 1689936942, 290418875, 1689936939, 1689917381, 61768631, 2407368311, 761117130, 2407368284, 569670914, 45232781, 27731527, 1604260912, 1164119705, 613215, 1458920608, 569847039, 11212298532, 1458920850, 613291, 2020308295, 18301748, 2635967951, 561733, 2588224701, 561730, 2706983738, 7558969203, 561065, 562204, 32866023, 562310, 151194526, 482600]",6.5392920000000005,14.666666666666666,26.751649090909094
T000005,A2146610222096,06:00:00,06:16:00,651699,651699,"[651699, 651698, 845706858, 9951452066, 9951318177, 9951318180, 651694, 2619891312, 2619891319, 613214, 1164119705, 613215, 1458920608, 569847039, 11212298532, 1458920850, 613219, 322823683, 562868, 562870, 562874, 2389908755, 18407275, 1831796573, 562435, 1524680709, 528920171, 162595, 495023287, 495023297, 603885, 1523930556, 520450, 1523286907, 558486, 558487, 604244, 604245, 132497959, 558290, 2523490733, 161437012, 1520374070, 1520209804, 9595290964, 559492, 507627, 16421199, 559499, 559504, 1851644393, 565241, 8499777433, 565243, 29914400, 29815674, 14851073, 14851067, 29800417, 29800277]",7.051714999999999,16.0,26.443931249999995
T000049,A2146474784656,06:00:00,06:17:10,27403672,27403672,"[27403672, 27403688, 59930241, 27428844, 27403697, 27403675, 27502117, 27403691, 27421827, 27403702, 27530303, 1662086471, 27452267, 31247726, 27403715, 27403719, 271399778, 27403724, 634083, 504416, 513838, 504577, 2701860421, 8792580689, 435132195, 504613, 634304, 634486, 4004614426, 4004614438, 4004614392, 634353, 276263995, 30054097, 1240403119, 634556]",11.373451000000001,17.166666666666668,39.751867572815534
T000199,A2146544319760,06:00:00,06:18:00,30776037,30776037,"[30776037, 30215741, 30775996, 30976867, 320249994, 30776006, 3325270002, 27443917, 469380975, 561283, 2452954919, 634017, 634072, 27403724, 634083, 504416, 513838, 504577, 2701860421, 8792580689, 435132195, 504613, 634304, 634486, 4004614426, 4004614464, 634495, 31079695, 31079717, 31079761, 31079782, 34452818, 34452834, 34452767, 34452795, 34452769, 1089292634, 34452750, 34452682, 34452683, 34452687]",10.892767999999997,18.0,36.30922666666665
T000056,A2146474771024,06:00:00,06:18:30,1284356355,1284356355,"[1284356355, 1114073840, 560554, 1351861290, 35503088, 35503089, 34969269, 34969267, 34074610, 34074611, 1123831922, 1123831727, 34972014, 27598478, 1123831852, 27598476, 561602, 158688935, 1043911665, 35707802, 35707800, 651444, 35707741, 35707738, 35707735, 31026154, 35707732, 35707729, 35707726, 31026152, 35707744, 8592932565, 3563900593, 31026149, 613207]",2.769573,18.5,8.982398918918918
T000290,A2146587043984,06:00:00,06:19:00,3684729423,3684729423,"[3684729423, 34347526, 561028, 34346681, 560120, 613266, 562435, 1524680709, 528920171, 162595, 495023287, 495023297, 603885, 1523930556, 520450, 1523286907, 558486, 558487, 604244, 604245, 132497959, 558290, 2523490733, 161437012, 1520374070, 1520209804, 9595290964, 559492, 507627, 16421199, 559499, 559504, 3211279484, 565253, 559518, 559523, 559525, 559527, 30253222, 354972378, 2611084452, 786685646, 30011202]",8.133844,19.0,25.685823157894735
T000068,A2146474775952,06:00:00,06:19:10,1596102528,1596102528,"[1596102528, 60682181, 60682196, 9808128534, 60682145, 60682144, 60682090, 30898067, 552893, 562366, 561250, 561855, 561860, 561861, 561862, 39472336, 39472333, 561863, 561864, 561865, 39472352, 39495479, 39472195, 39472193, 39420593, 39420596, 39420600, 1225611785]",4.552696999999999,19.166666666666668,14.251921043478259
T000237,A2146544312272,06:00:00,06:20:20,34917003,34917003,"[34917003, 560904, 560906, 560907, 34090396, 560418, 34090416, 1842180338, 1842180341, 2879685330, 2678905093, 43582625, 28556403, 43577869, 559983, 559981, 2543810689, 2543810647, 1646282519, 309126162, 1848627561, 587075, 587076, 2398357723, 2398357722, 5395364191, 34346220, 27620249, 2389908744, 562874, 604406, 995209664, 18407245, 18407273, 18407181, 1525099561, 1524680362, 18407235, 60738058, 60738081]",3.867348,20.333333333333332,11.41184655737705
T000030,A2146474773584,06:00:00,06:20:40,60592334,60592334,"[60592334, 2204802262, 60592343, 60592340, 60592341, 552852, 10171151498, 552862, 3996564706, 48093119, 627139, 48092645, 1681660151, 296086261, 1196821957, 48077732, 627150, 560813, 552888, 552889, 552891, 2183919269, 10290205343, 552832, 627126, 627125, 561155, 810184594, 1681614188, 507507, 771738173, 507508, 506996, 506997, 266495646, 286895875, 507110, 471302, 507123, 286889103, 507580, 507608, 586544, 10575352931, 3075304544, 482636, 2053307537, 504372, 504374, 2701860425, 2146569862, 505132, 1027006883, 560886, 9992808462, 561210, 31125189, 31125188, 31125198]",19.723908999999995,20.666666666666668,57.262961612903204
T000271,A2146587040016,06:00:00,06:21:20,615781,615781,"[615781, 562387, 615734, 562087, 1123722610, 1123722615, 562137, 562177, 562179, 482600, 4697800451, 561439, 32866022, 316840618, 562238, 562239, 562204, 561065, 7558969203, 2706983738, 561730, 2588224701, 561733, 2635967951, 18301748, 2020308291, 560834, 560836, 27732271, 45224068, 11313765651, 1164119707, 613199, 27731532, 2619891319, 27731537, 27731544, 38651810, 27552127, 45232779, 651474, 561346, 561347, 569670930, 29549694, 27737442, 29549648, 27552132]",6.527845000000001,21.333333333333332,18.359564062500006
T000223,A2146544319248,06:00:00,06:21:30,39472538,39472538,"[39472538, 39472373, 561867, 2297227671, 39472418, 39472423, 561868, 39472535, 561871, 561628, 561630, 561632, 561161, 561163, 561216, 561217, 561218, 1616001331, 1616099959, 1616099916, 534709971, 534709992, 507103, 61147614, 256327952, 506996, 506997, 266495646, 286895875, 507110, 12898780, 407775, 407767, 407504, 471124, 407585, 410291, 471246, 345001645, 471276, 562626, 1125959480, 563666, 563665, 343513754, 561830, 343513742, 997034946, 997034962, 997034988, 997034990, 997034996, 997035000, 997035008, 559325]",14.759271000000002,21.5,41.18866325581396
T000147,A2146523280080,06:00:00,06:22:30,1229210114,1229210114,"[1229210114, 60683064, 60683055, 60683056, 60683057, 1229210105, 60683062, 60683006, 39420620, 39420612, 39420608, 39420603, 1225611785, 39420600, 39420596, 39420593, 39420588, 2298692090, 39420585, 39420583, 39420580, 39420576, 39420573, 30899214, 561163, 561216, 561217, 561218, 1616001331, 1616099959, 1616099916, 534709971, 534709992, 507103, 61147614, 256327952, 506996, 506997, 266495646, 286895875, 507110, 471302, 507123, 286889103, 507580, 507608, 586544, 10575352931, 3075304544, 482636, 2053307537, 504372, 504374, 2701860425, 2146569862, 505132, 1027006883, 560886, 9992808462, 561210, 31125189, 31125188, 31125198]",24.090225,22.5,64.2406
T000125,A2146523280720,06:00:00,06:23:30,30838320,30838320,"[30838320, 30838335, 30838321, 30838322, 30838323, 30838331, 604078, 604080, 544304, 544306, 507473, 9960215965, 277979525, 557969, 557971, 835488667, 835488574, 25670248, 557985, 557988, 1569296212, 554407, 343513738, 561840, 1125959480, 563666, 4034168373, 1137674443, 1137674857, 993846923, 993846925, 552679, 552682, 1461099882, 2555861508, 17920557, 2367761088, 3211937067, 552695, 672914056, 487848111, 2149197151, 552659, 672914024, 2385038170, 32519680, 32519709, 61780025, 61780023, 958315874, 958315953, 558723, 763080555, 558635, 558639, 27797499, 60121869, 60121870, 60121871, 60121867, 60120207, 60121885, 60121898, 60121897, 60126539, 60126544, 60126549, 60126562, 60126593, 60126594]",8.520121000000003,23.5,21.75350042553192
T000040,A2146474778768,06:00:00,06:24:10,518293,518293,"[518293, 26027262, 554494, 554495, 26027378, 553035, 1191579189, 7234519072, 7234519071, 7234519067, 7234519065, 7234519063, 7234519081, 7234519040, 256117375, 60678805, 60678804, 7223157, 7223156, 60678795, 7223155, 60678812, 7223146, 48093348, 2107774034, 552814, 2107773949, 552817, 30899176, 7223138]",2.2297140000000004,24.166666666666668,5.5358416551724146
