trip_id,agent_id,start_time,end_time,origin_node,destination_node,route_taken,trip_distance_km,trip_duration_min,average_speed_kmh
T000280,A2094486156976,06:00:00,06:01:00,271659016,271659016,"[271659016, 271659019, 271659017, 271659020, 2073904457, 90664090]",0.2782066708173981,1.0,16.692400249043885
T000162,A2094457067696,06:00:00,06:03:05,258885039,258885039,"[258885039, 10533389, 10709070, 1787898372, 1787898374, 129997245, 150539186, 129997246, 150610916, 271657991, 271657999]",0.6702552257644142,3.0833333333333335,13.042804393253466
T000287,A2094485816336,06:00:00,06:06:00,368234320,368234320,"[368234320, 1627460453, 54127231, 90663817, 10709093, 253841118, 253841116, 10708207, 471820017, 471820011, 10707515, 129997264, 120318849, 10707561]",1.2624644935506475,6.0,12.624644935506474
T000086,A2094456555952,06:00:00,06:06:25,10469033,10469033,"[10469033, 10468737, 7506654878, 618849912, 10708136, 610516884, 2570663520, 368234346, 90663431, 90664107, 2440786023, 368234322, 368234357, 368234327, 369434046, 533652665, 240378541, 517404378, 10533916, 10533254, 8532075003, 10532054, 2790779988, 2640110010, 2640110024, 240375720, 240375728, 240375737, 2640110038, 561137382]",2.19700691816559,6.416666666666667,20.543441312717203
T000042,A2094490154672,06:00:00,06:07:10,365689022,365689022,"[365689022, 10533351, 10533459, 151009721, 151009718, 288572721, 151009717, 10707895, 271660123, 271660125, 312354383, 2073904445, 2073904453, 151009715, 345180784, 147831755, 90664090, 90662971]",1.656278147539854,7.166666666666667,13.866514723589475
T000063,A2094457216592,06:00:00,06:07:15,90663431,90663431,"[90663431, 368234346, 369433992, 610525530, 368234342, 369433728, 369433709, 368234347, 368234349]",0.8179579461786812,7.25,6.769307140789086
T000052,A2094457211312,06:00:00,06:08:45,150898521,150898521,"[150898521, 2069539892, 4293355771, 4293358151, 4557975599, 624075939, 624074963]",1.0167321173324448,8.75,6.971877375993907
T000164,A2094457068656,06:00:00,06:09:55,1184140558,1184140558,"[1184140558, 1184140552, 1184140559, 2509255906, 2511301768, 2511301766, 2511301763, 2511301749, 2533793251, 10710467, 5184735145, 1667166192, 13011651572, 10531864, 3216234881, 9903237, 280577928, 1732954776, 1732954764, 1732954761, 1732954744, 7025287372, 2652651131, 2652651095, 1665954409, 10709451, 303742840, 303742848, 90661700, 2777797022, 90662497, 10707139, 10709093, 10535578, 129997246, 150610916, 271657991, 271657999, 10533601, 207295494, 129997271, 150610914]",4.7583242082398005,9.916666666666666,28.789860755736612
T000248,A2094456961648,06:00:00,06:10:05,618849929,618849929,"[618849929, 10468444, 10469033, 10468737, 7506654878, 618849912, 10708136, 10708590, 610525516, 369433899, 10709246, 52719210]",1.1598378498972743,10.083333333333334,6.901514478727583
T000260,A2094486147376,06:00:00,06:10:50,271660123,271660123,"[271660123, 271660125, 312354383, 2073904445, 2073904453, 2073904457, 2073904458, 271659021, 271659016, 261142927, 10532166, 10531939]",0.9402147381887965,10.833333333333334,5.207343165353334
T000234,A2094456954928,06:00:00,06:11:15,340436895,340436895,"[340436895, 533583358, 340436904, 340436911, 533583375, 240352616, 2469170463, 1753894277, 4422606332, 4422606333, 1753894314, 240362405, 90663508, 291893908, 535571908, 535571872, 4244962023, 4244962029, 1753894369, 2459816221, 526246886, 90663656, 430952873, 479742216, 295072108, 2073879836, 296327176, 10532279, 10532054, 2790779988, 2640110010, 2640110024, 240375720, 240375728, 240375737]",2.6327822868078714,11.25,14.04150552964198
T000081,A2094456553552,06:00:00,06:12:40,166298349,166298349,"[166298349, 166298352, 90662560, 710127464, 166298370, 166298371, 710127472, 710209862, 8946942299, 6767668015, 7028684177, 725027612, 710384932, 725027608]",1.5843973400532516,12.666666666666666,7.505040031831193
T000005,A2094420081584,06:00:00,06:12:45,669273245,669273245,"[669273245, 90662609, 669273247, 90661810, 669273246, 666887511, 666887491, 90661038, 689882592, 689882591, 253154484, 689882588, 689882587, 336783970, 449841001, 571819835, 6764582686, 90663177, 4177163168, 6764582689, 1650174826, 6065449656, 5978240182, 5978240181, 6065449657, 10532085, 5978240180, 10533394, 10533069, 90663431, 368234346, 10708590, 10708847, 2652651095, 1665954409, 10709451, 90663784, 255305104, 1947339477, 1947339470, 2750382250, 2750382219]",2.881995859167947,12.75,13.562333454907986
T000267,A2094486150736,06:00:00,06:13:05,666875915,666875915,"[666875915, 654084749, 2812593685, 666875918, 3164175827, 166298349, 166298352, 666887519, 669273248, 90661810, 669273246, 666887511, 666887491, 90661038, 689882592, 689882591, 253154484, 689882588, 689882587, 336783970, 449841001, 571819835, 6764582686, 90663177, 4177163168, 6764582689, 1650174826, 6065449656, 5978240182, 5978240181, 6065449657, 10532085, 5978240180, 10533394, 10533069, 90663431, 90664107, 2440786023, 368234322, 368234357]",2.351322733081359,13.083333333333334,10.783136100755275
T000169,A2094457071056,06:00:00,06:13:35,4040741997,4040741997,"[4040741997, 4040741996, 4040741994, 2511301751, 2511301754, 2511301755, 2511301768, 2511301766, 2511301763, 2511301749, 2533793251, 10710467, 5184735145, 1667166192, 13011651572, 10531864, 3216234881, 9903237, 280577928, 1732954776, 260167351, 2632727099, 2632727105]",3.14046340039502,13.583333333333334,13.87198557229702
T000301,A2094486156976,06:08:25,06:14:10,90664090,1012083788,"[90664090, 1645514958, 90661414, 1645514960, 90662243, 1625980093, 6443960551, 5613890294, 6848215649, 4379641990, 544254067, 489310820, 291839087, 2667397374, 2667397359, 2667397361, 1225759826, 1225760013, 276659094, 1225760436, 276659089, 1225761790, 1619488243, 1844378114, 276659085, 247122865, 1012083716, 1502225469, 332549387, 276659099, 1012083770, 276659097, 4427930164, 994375265, 1012083715, 1012083788]",2.4655463165200433,5.75,25.727439824556974
T000089,A2094456557392,06:00:00,06:14:20,618849912,618849912,"[618849912, 10708136, 10708590, 610525516, 369433899, 10709246, 52719210, 10709995, 2777797022, 90662497, 10707139, 10709093, 10535578, 129997246, 150610916, 271657991, 271657999, 10533601, 10532166, 10531939, 10532687, 147831730, 151200738, 151009716, 271660121, 312354382, 2073904453, 151009715, 345180784]",2.477689352208831,14.333333333333334,10.371722869711384
T000104,A2094456564592,06:00:00,06:14:20,2656606688,2656606688,"[2656606688, 260167351, 1732954776, 1732954764, 1732954761, 1732954744, 7025287372, 2652651131, 2652651095, 1665954409, 10709451, 303742840, 303742848, 90661700, 2777797022, 90662497, 10707139, 10709093, 10535578, 10710587, 496061215]",2.2616877135434907,14.333333333333334,9.467529963670426
T000270,A2094486152176,06:00:00,06:14:55,430124779,430124779,"[430124779, 430124774, 261142922, 261142927, 10532166, 10531939, 10532687, 271659017, 271659020, 2073904457, 90664090, 1645514958, 90661414, 1645514960, 90662243, 1625980093, 6443960551, 5613890294, 6848215649, 4379641990, 544254067, 489310820, 291839087, 2667397374, 2667397359, 2667397361, 1225759826, 1225760013, 276659094, 1225760436, 276659089, 1225761790, 1619488243, 1844378114, 276659085, 247122865, 1012083716, 1502225469, 332549387, 276659099, 1012083770, 276659097, 4427930164, 994375265, 4427930148, 994375239, 276659098, 224875311, 224875315, 224875247, 291886632, 90662854, 90663807, 90660929, 224875286]",3.9183800430843228,14.916666666666666,15.761081737545881
T000051,A2094457210832,06:00:00,06:15:00,533583361,533583361,"[533583361, 533583358, 340436904, 340436911, 533583375, 240352616, 2469170463, 1753894277, 4422606332, 4422606333, 1753894314, 240362405, 90663508, 291893908, 535571908, 535571872, 4244962023, 4244962029, 1753894369, 90661106, 90661793, 1675548331, 499990226, 6258709093, 90663889, 90661296, 90663623, 530641305, 1625980093, 2441239245, 492008347, 90662971, 2073904458, 271659021, 271659016, 261142927, 261142922, 271657997, 271657999, 10533601, 207295494]",2.723400861526967,15.0,10.893603446107868
T000145,A2094456617104,06:00:00,06:15:15,10533254,10533254,"[10533254, 8532075003, 10532054, 10532279, 253176327, 450177661, 240378540, 507085324, 253154460, 10708428, 10710707, 2656587677, 147831785, 498320979, 10709035, 498312874, 6848215649, 4379641990, 544254067]",1.4791156466926743,15.25,5.819471396823636
T000201,A2094457020944,06:00:00,06:15:50,149398062,149398062,"[149398062, 10532024, 10532524, 10532117, 120318849, 129997270, 120318852, 90662993, 90663842, 10707910, 90662428, 90661787, 90663784, 10709451, 303742840, 303742848, 90661700, 2777797022, 52718520, 1675847767, 52717888, 52717612, 4537971751, 10709246, 369433899, 610525516, 610525530, 369433992, 368234346, 90663431, 90664107, 2440786023]",2.6653497039179617,15.833333333333334,10.100272562215432
T000084,A2094456554992,06:00:00,06:17:40,2451392161,2451392161,"[2451392161, 2657867574, 90662540, 157094068, 724227128, 420655146, 2073879844, 2073879842, 2073879836, 2073879834, 147831776, 147831785, 2073879808, 2656587576, 10708185, 6280817946, 1627460453, 54127231, 90663817, 369433606, 90661099, 368234349, 90662618, 617579231, 52718520, 2777797022, 90661700, 2777797063, 303742848, 303742840, 10709451, 1665954409, 10708847, 2652651131, 7025287372, 1732954744, 1732954761, 1732954764, 1732954776, 280577928, 9903237, 3216234883, 10531864, 13011651572, 10710467, 2533793251, 2511301749, 2511301751, 2511301754, 2511301755, 2509255902, 2509255907, 2509255913, 2509255922, 2509255923, 1674356803, 1674356811, 1674356812, 1673195864, 1673195877, 4707008157]",6.48167927771539,17.666666666666668,22.013250377146605
