trip_id,agent_id,start_time,end_time,origin_node,destination_node,route_taken,trip_distance_km,trip_duration_min,average_speed_kmh
T000145,A2341438568528,06:00:00,06:07:10,287849584,287849584,"[287849584, 287849469, 247589246, 287849404, 287849376, 2479110519, 2479110482, 247589248, 247589253, 240901860, 240901873, 102298060, 240901884, 491646124, 151013432, 145304, 109691741, 109691474, 247583967, 121973427, 208518011, 2486916106, 2486916099, 2486916096, 6854822859, 208518021, 208518022, 1503522055]",1.9970339999999998,7.166666666666667,16.71935441860465
T000192,A2341319725456,06:00:00,06:10:40,249560714,249560714,"[249560714, 829488495, 1849561869, 249560625, 249560626, 249560618, 829488488, 140257292, 140257290, 6284680930, 6284680929, 140257287, 6284680938, 254369560, 2523332158, 2523331713, 31382125, 8112071425, 8112071450, 8112071446, 60717161, 60717210, 145431, 145432, 60717022, 60717023, 145433, 145413, 145412, 145411, 150600388, 150600386, 4360348970, 150602801, 150602803, 150602820, 150602821]",3.0373529999999995,10.666666666666666,17.085110625
T000073,A2341438559312,06:00:00,06:12:40,319194545,319194545,"[319194545, 319195071, 350361247, 350426475, 319195494, 350300608, 264591518, 264591517, 264591481, 264591396, 168153011, 1762229577, 168153008, 17427275, 319239830, 1376965208, 2623262235, 319239831, 622940139, 168146791, 75714754, 168146339, 3137854420, 60442103, 3137854452, 2639668755]",2.887956,12.666666666666666,13.67979157894737
T000163,A2341319721360,06:00:00,06:15:50,3252711995,3252711995,"[3252711995, 3252711996, 240901899, 240901768, 102298059, 240901772, 247589194, 240901781, 247589195, 247584008, 6712628015, 5871186676, 240901800, 240901804, 867273523, 444025984, 11347204766, 241792285, 1189688250, 332013405, 1670303452, 286245317, 1405908602, 241792348, 241792330, 241792323, 241792321, 3664008146, 9693232992, 9693232995, 255560525, 319200498, 484667125, 255560037, 255560039, 291382701, 255560041, 255559712, 255560031, 509910269, 1344865353, 248062428, 319203010, 1405909089, 291357095, 319203817, 319204643, 319206962, 319206953, 319205697, 248109602, 248109710, 248110187, 248110031, 792506832, 248110168]",5.917679,15.833333333333334,22.42488884210526
T000151,A2341438569296,06:00:00,06:16:00,337393818,337393818,"[337393818, 92317659, 92317660, 92317663, 1676978021, 1676978019, 92234372, 92233845, 92233846, 92226989, 92226992, 60661746, 60661747, 60661748, 60661749, 489197126, 60661750, 60661751, 489197132, 489197133, 60661753, 60661754, 9968661537, 1488402317, 60661755, 2627009778, 255708205, 1589630975, 1589630969, 1589630967, 60692627, 145456, 482820198, 60694499, 21180081, 2523085792, 2523085793, 4706079367, 2523075946, 8112071426, 31382125, 2523331713, 2523332158, 254369560, 6284680936, 6284680934, 6284680932, 6284680930, 6284680929, 6284680928, 249560603, 249560597, 249560596, 249561119, 1260312307, 249560595, 249561084, 249561077]",6.450039,16.0,24.18764625
T000286,A2341319803088,06:00:00,06:17:10,560430259,560430259,"[560430259, 503948815, 503948824, 251281893, 251281894, 8086312, 27122577, 6578669811, 503948923, 503948981, 2436533710, 123536174, 4068061971, 733627700, 4705647140, 733627733, 1388362165, 1388362167, 109728421, 1388362149, 1388362162, 1376041746, 109745214, 109740365, 109703593, 109703594, 151013339, 151013297, 151013298, 240901899, 240901768, 102298059, 240901772, 247589194, 240901781, 247589195, 247584008, 6712628015, 5871186676, 240901800, 240901804, 867273523, 444025984, 11347204766, 241792285, 1189688250, 332013405, 1670303452, 286245317, 1405908602, 241792329, 277005436, 277007827, 277007828, 277005843, 286240179, 483346241, 286125737]",9.198846,17.166666666666668,32.15130640776699
T000058,A2341438557136,06:00:00,06:17:20,312461255,312461255,"[312461255, 296331175, 296331174, 312015284, 144880496, 278548884, 4267718853, 250544541, 3262064027, 152151816, 219049913, 152149628, 166682, 152110006, 151348941, 492790426, 278548251, 316631847, 146501128, 3564813771, 152116003, 257818701, 152163018, 152161127, 60128214, 60128217, 9019879536, 6892656074, 3642805897, 3642805904, 3642805903, 1395839303, 1395839299, 1395839290, 1395839292]",7.781158,17.333333333333332,26.934777692307694
T000048,A2341438555856,06:00:00,06:17:30,2279446190,2279446190,"[2279446190, 146092744, 146092722, 146092740, 146092739, 494911158, 494911159]",0.23201600000000003,17.5,0.7954834285714287
T000228,A2341319730064,06:00:00,06:20:00,141793020,141793020,"[141793020, 141787794, 141787798, 141787802, 141793050, 141787809, 141787813, 141787817, 141822264, 1726583137, 141822290, 142124001, 142123964, 142124017, 142124026, 142124040, 142124054, 142124091, 496015614, 146059753, 496015563, 2822043456, 2822043454, 146059741, 146059925, 146059778]",3.6502840000000005,20.0,10.950852000000001
T000299,A2341319805520,06:00:00,06:20:20,364653186,364653186,"[364653186, 357468347, 6151922804, 9088478590, 241778575, 2883799354, 2883799347, 3562580094, 142663672, 6892656077, 139717841, 7637758993, 6892656074, 3642805897, 3642805904, 1737760486, 30989752, 141547500, 1380537872, 2129442336, 141555830, 6700906750, 141555837, 331459157, 1380537762, 5168790966, 4044244231, 739423050, 1395839265, 349319915, 5698977153, 1395839237, 495195591, 495770988, 495195463, 124253932, 8792581, 1511476736, 124245277, 124245345, 124253890, 8792619, 8792638, 28323321, 142123946, 142123948, 142123957, 1912184410, 142123964, 142123966, 354593046, 5110623272, 494911158, 146092784, 146097244, 146097255, 146097259, 146133191, 146133181, 146097278]",7.978599999999998,20.333333333333332,23.54340983606557
